//
///////////////////////////////////////////EXTRASUNNY_LA 
//
// Midnight
//	Amb					Amb_Obj 				Dir 					Sky top				Sky bot				SunCore			SunCorona			SunSz		SprSz	SprBght		Shdw			LightShd			PoleShd			FarClp			FogSt			LightOnGround			LowCloudsRGB			BottomCloudRGB			WaterRGBA			Alpha1    RGB1			Alpha2    RGB2			CloudAlpha			IntensityLimit			WaterFogAlpha			DirMult 
	74 74 46 			139 139 86 			255 255 255 			15 21 31 			15 21 31 			255 128 0 			5 0 0 			0.8		0.8		0.3			0 0 0			400.0		100.0		0.8			30 20 0			3 3 3			85 85 65 240			127 87 87 87			127 60 121 122			0	90	0	1.00		
// 5 AM
	102 74 50 			192 139 94 			255 255 255 				22 31 44 			22 31 44 			255 128 0 			255 128 0 			-0.1		0.8		0.1			0 0 0			400.0		100.0		0.8			35 9 10			27 30 36			53 104 104 240			127 80 80 80			127 60 190 190			0	90	0	1.00		
// 6 AM
	124 114 86 			233 214 162 			255 255 255 			44 83 150 			115 83 48 			255 128 0 			255 128 0 			3.0		0.8		0.3			0 0 0			800.0		100.0		0.8			100 34 25			120 92 88			90 170 170 240			127 86 86 86			127 149 94 0			100	120	0	1.00		
// 7 AM
	124 114 86 			233 214 162 			255 255 255 		58 135 167 			58 135 167 			255 255 255 			255 255 255 			2.1		0.8		0.3			0 0 0			800.0		100.0		0.3			120 40 40			159 142 106			145 170 170 240			111 133 106 70			127 96 61 15			100	180	0	1.00		
// Midday
	85 85 85 			160 160 160 			255 255 255 		39 93 149 			39 93 149 			255 255 255 			255 255 255 			0.9		0.8		-0.1			0 0 0			800.0		10.0		-0.1			44 34 23			145 164 183			90 170 170 240			127 66 66 48			127 166 129 60			100	180	0	1.00		
// 7 PM
	90 65 27 			169 122 51 			255 255 255 		29 83 139 			29 83 139 			222 88 0 			122 55 0 			3.8		0.8		-0.1			0 0 0			800.0		10.0		0.8			120 40 40			200 123 96			50 97 97 240			106 124 124 107			127 86 50 10			100	180	0	1.00		
// 8 PM
	75 75 45 			141 141 85 			255 255 255 				155 101 60 			155 101 60 			255 128 0 			255 128 0 			1.9		0.8		0.3			0 0 0			800.0		10.0		0.8			120 40 40			72 107 159			67 67 67 240			127 81 85 40			127 66 27 0			100	140	0	1.00		
// 10 PM
	75 75 45 			141 141 85 			255 255 255 				78 57 48 			78 57 48 			255 128 0 			5 8 0 			0.8		0.8		0.3			0 0 0			600.0		10.0		0.8			70 27 10			15 11 34			67 67 62 240			127 209 143 84			127 76 51 0			100	90	0	1.00		
//
///////////////////////////////////////////SUNNY_LA 
//
// Midnight
//	Amb					Amb_Obj 				Dir 					Sky top				Sky bot				SunCore			SunCorona			SunSz		SprSz	SprBght		Shdw			LightShd			PoleShd			FarClp			FogSt			LightOnGround			LowCloudsRGB			BottomCloudRGB			WaterRGBA			Alpha1    RGB1			Alpha2    RGB2			CloudAlpha			IntensityLimit			WaterFogAlpha			DirMult 
	74 74 46 			139 139 86 			255 255 255 			0 0 5 			5 5 5 			255 255 0 			5 0 0 			0.9		0.9		0.9			200 100 0			2000.0		100.0		0.9			30 20 0			3 3 3			85 85 65 255			3 3 3 80			23 32 33 109			44	120	0	1.00		
// 5 AM
	102 74 50 			192 139 94 			255 255 255 			20 20 33 			25 21 15 			255 128 0 			255 0 0 			8.3		0.9		0.9			150 100 0			2000.0		100.0		0.9			70 27 10			50 43 36			102 106 72 255			1 43 36 80			1 0 0 100			88	120	0	1.00		
// 6 AM
	124 114 86 			233 214 162 			255 255 255 			90 205 255 			200 144 85 			255 128 0 			255 128 0 			8.3		0.9		0.8			140 100 0			2000.0		100.0		0.8			100 34 25			120 92 88			185 160 160 255			1 92 88 69			1 50 50 0			75	120	0	1.00		
// 7 AM
	124 114 86 			233 214 162 			255 255 255 			90 205 255 			187 146 116 			255 128 0 			255 0 0 			7.3		0.9		0.8			100 50 0			2000.0		100.0		0.5			120 40 40			180 100 100			145 170 170 255			1 100 100 44			1 90 100 22			81	120	0	1.00		
// Midday
	85 85 85 			160 160 160 			255 255 255 			90 200 255 			255 255 255 			255 128 0 			255 128 0 			2.5		0.9		0.3			150 0 0			2000.0		10.0		0.9			120 100 100			120 120 120			90 170 170 255			1 60 60 46			1 86 84 52			105	120	0	1.00		
// 7 PM
	90 65 27 			169 122 51 			255 255 255 			109 142 157 			165 155 130 			255 128 0 			255 0 0 			7.5		0.9		0.9			110 40 0			2000.0		10.0		0.8			120 40 40			200 123 96			153 95 87 255			1 123 96 46			1 168 168 32			99	120	0	1.00		
// 8 PM
	75 75 45 			141 141 85 			255 255 255 			109 142 189 			165 155 130 			255 128 0 			155 0 0 			1.9		0.9		0.9			100 60 0			2000.0		10.0		0.9			120 40 40			150 119 109			67 67 67 255			1 119 109 48			1 91 78 6			62	120	0	1.00		
// 10 PM
	75 75 45 			141 141 85 			255 255 255 			20 15 45 			66 66 64 			255 5 8 			5 8 0 			0.9		0.9		0.9			160 100 0			2000.0		10.0		0.9			70 27 10			0 0 0			67 67 62 255			1 0 0 124			1 52 53 40			44	120	0	1.00		
//
///////////////////////////////////////////EXTRASUNNY_SMOG_LA 
//
// Midnight
//	Amb					Amb_Obj 				Dir 					Sky top				Sky bot				SunCore			SunCorona			SunSz		SprSz	SprBght		Shdw			LightShd			PoleShd			FarClp			FogSt			LightOnGround			LowCloudsRGB			BottomCloudRGB			WaterRGBA			Alpha1    RGB1			Alpha2    RGB2			CloudAlpha			IntensityLimit			WaterFogAlpha			DirMult 
	74 74 46 			139 139 86 			255 255 255 				19 14 19 			19 14 19 			255 128 0 			5 0 0 			0.8		0.3		0.8			0 0 0			800.0		100.0		0.8			30 20 0			3 3 3			85 85 65 240			127 50 61 114			127 14 46 55			0	80	0	1.00		
// 5 AM
	102 74 50 			192 139 94 			255 255 255 				16 16 22 			16 16 22 			255 128 0 			255 128 0 			-0.1		0.3		0.8			0 0 0			800.0		50.0		0.8			35 9 10			27 30 36			53 104 104 240			127 93 90 114			127 34 40 30			0	80	0	1.00		
// 6 AM
	124 114 86 			233 214 162 			255 255 255 			45 102 127 			141 101 60 			255 128 0 			255 128 0 			3.3		0.1		0.3			0 0 0			800.0		50.0		0.8			100 34 25			120 92 88			90 170 170 240			127 86 86 86			127 149 94 0			100	120	0	1.00		
// 7 AM
	124 114 86 			233 214 162 			255 255 255 		101 132 148 			101 132 148 			255 128 0 			255 128 0 			1.1		0.1		0.8			0 0 0			800.0		10.0		0.3			120 40 40			159 142 106			145 170 170 240			127 106 107 84			127 96 61 15			100	120	0	1.00		
// Midday
	85 85 85 			160 160 160 			255 255 255 		63 102 178 			89 102 125 			255 128 0 			255 128 0 			0.8		0.1		0.3			0 0 0			800.0		10.0		-0.1			44 34 23			145 164 183			90 170 170 240			127 82 80 43			127 125 94 40			100	50	0	1.00		
// 7 PM
	90 65 27 			169 122 51 			255 255 255 				93 127 157 			93 127 157 			198 128 0 			255 128 0 			7.3		0.3		0.8			0 0 0			800.0		10.0		0.8			120 40 40			200 123 96			50 97 97 240			106 124 93 67			127 86 50 10			100	150	0	1.00		
// 8 PM
